['03/21/2021', ['10', '15'], '54', '7', '190', '16*', '7220*', '10']
['03/21/2021', ['10', '35'], '56', '8', '180', '16*', '7220*', '10']
['03/21/2021', ['10', '55'], '58', '7', '200', '16*', '7220*', '10']
['03/21/2021', ['11', '15'], '58', '9', '190', '16', '7220*', '10']
['03/21/2021', ['11', '35'], '60', '9', '200', '16', '7220*', '10']
['03/21/2021', ['11', '55'], '60', '8', '190', '16*', '7220*', '10']
['03/21/2021', ['12', '15'], '61', '10', '170', '17', '7220*', '10']
['03/21/2021', ['12', '35'], '62', '13', '180', '18', '7220*', '10']
['03/21/2021', ['13', '15'], '63', '13', '150', '20', '7220*', '10']
['03/21/2021', ['13', '35'], '65', '9', '170', '17', '7220*', '10']
['03/21/2021', ['13', '55'], '63', '10', '170', '20', '7220*', '10']
['03/21/2021', ['16', '55'], '64', '13', '170', '20', '7220*', '10']
['03/21/2021', ['17', '35'], '62', '9', '180', '20', '7220*', '10']
['03/21/2021', ['17', '55'], '61', '13', '170', '20', '7220*', '10']
['03/21/2021', ['18', '35'], '58', '13', '180', '17', '7220*', '10']
['03/21/2021', ['18', '55'], '54', '9', '190', '17*', '7220*', '10']
['03/21/2021', ['19', '15'], '53', '13', '190', '17*', '7220*', '10']
['03/22/2021', ['06', '15'], '40', '6', '160', '16*', '7220*', '10']
['03/22/2021', ['06', '35'], '37', '0', '0', '16*', '7220*', '10']
['03/22/2021', ['06', '55'], '38', '0', '0', '16*', '7220*', '10']
['03/22/2021', ['07', '15'], '39', '0', '0', '16*', '7220*', '10']
['03/22/2021', ['07', '35'], '41', '0', '0', '16*', '7220*', '10']
['03/22/2021', ['07', '55'], '43', '0', '0', '16*', '7220*', '10']
['03/22/2021', ['08', '15'], '47', '7', '130', '16*', '7220*', '10']
['03/22/2021', ['08', '35'], '50', '7', '160', '16*', '7220*', '10']
['03/22/2021', ['08', '55'], '54', '6', '200', '16*', '7220*', '10']
['03/22/2021', ['09', '15'], '56', '7', '190', '16*', '7220*', '10']
['03/22/2021', ['09', '35'], '58', '8', '210', '16*', '7220*', '10']
['03/22/2021', ['09', '55'], '61', '9', '210', '16*', '7220*', '10']
['03/22/2021', ['10', '15'], '62', '15', '220', '20', '7220*', '10']
['03/22/2021', ['11', '55'], '65', '9', '200', '18', '7220*', '10']
['03/22/2021', ['13', '35'], '67', '10', '240', '20', '7000', '10']
['03/22/2021', ['13', '55'], '67', '11', '200', '20', '7000', '10']
['03/22/2021', ['14', '35'], '67', '8', '170', '20', '7000', '10']
['03/22/2021', ['16', '35'], '67', '7', '180', '18', '7000*', '10']
['03/22/2021', ['17', '15'], '67', '10', '180', '20', '7000', '10']
['03/22/2021', ['17', '35'], '66', '8', '180', '20*', '7000', '10']
['03/22/2021', ['17', '55'], '65', '9', '220', '20*', '7000', '10']
['03/22/2021', ['18', '15'], '64', '6', '150', '20*', '7000', '10']
['03/22/2021', ['18', '35'], '63', '3', '170', '20*', '7000', '10']
['03/22/2021', ['18', '55'], '62', '0', '0', '20*', '7000', '10']
